PlaybrushID,TimestampUTC,UpTime,DownTime,LeftTime,RightTime,NoneTime,
PB2500017115,Mon Sep 18 2017 08:03:18 GMT+0100 (BST),6.6,0.1,0.3,0.3,5.7,
PB2500017115,Mon Sep 18 2017 08:06:32 GMT+0100 (BST),0,3.8,1.8,0,1.4,
PB2500017115,Mon Sep 18 2017 08:08:26 GMT+0100 (BST),3.3,3.4,0.65,1.35,3.3,
PB2500017115,Mon Sep 18 2017 08:45:06 GMT+0100 (BST),4.6,0,0,0.75,1.7,
PB2500017115,Mon Sep 18 2017 08:45:21 GMT+0100 (BST),3.1,0.65,1.15,1.15,2.0,
PB2500017115,Mon Sep 18 2017 08:49:15 GMT+0100 (BST),1.15,0,0,3.3,5.6,
PB2500017115,Mon Sep 18 2017 08:49:32 GMT+0100 (BST),3.85,2.4,0.15,1,3.6,
PB2500017115,Mon Sep 18 2017 09:21:19 GMT+0100 (BST),3,0.9,0.45,1.4,3.3,
PB2500017115,Mon Sep 18 2017 09:22:41 GMT+0100 (BST),1.05,2.6,0,3.6,7.8,
PB2500035239,Mon Sep 18 2017 12:17:07 GMT+0100 (BST),2.55,0.05,0,0.6,3.8,
PB2500016077,Mon Sep 18 2017 12:56:00 GMT+0100 (BST),3.25,0.3,0,0.7,3.8,
PB2500010629,Mon Sep 18 2017 11:10:28 GMT+0100 (BST),0,0,1.5,0,4.5,
PB2500034872,Mon Sep 18 2017 13:36:20 GMT+0100 (BST),1.35,0.7,0.4,0.05,4.5,
PB2500034872,Mon Sep 18 2017 17:51:45 GMT+0100 (BST),2.1,16.7,7.35,0.55,0.0,
PB2500034872,Mon Sep 18 2017 17:52:25 GMT+0100 (BST),0,1.5,2.6,0,1.9,
PB2500034872,Mon Sep 18 2017 17:53:25 GMT+0100 (BST),1,4.9,7.85,0,3.3,
PB2500018485,Mon Sep 18 2017 16:02:34 GMT+0100 (BST),2.4,0.45,2.15,0.35,8.7,
PB2500018485,Mon Sep 18 2017 18:10:04 GMT+0100 (BST),4.15,0.6,3.5,0.2,3.6,
PB2500008867,Mon Sep 18 2017 09:06:10 GMT+0100 (BST),4.75,0,0,0.1,2.2,
PB2500035239,Mon Sep 18 2017 17:06:47 GMT+0100 (BST),1.1,1.15,0.3,0.7,8.8,
PB2500035239,Mon Sep 18 2017 17:40:26 GMT+0100 (BST),1.9,0.15,0.55,0.3,9.1,
PB2500035239,Mon Sep 18 2017 18:52:44 GMT+0100 (BST),0.35,2.9,3.4,2.15,7.2,
PB2500035239,Mon Sep 18 2017 18:53:11 GMT+0100 (BST),0,7.3,0,1,8.7,
PB2500035239,Mon Sep 18 2017 18:53:48 GMT+0100 (BST),0,0,0,2.6,9.4,
PB2500035239,Mon Sep 18 2017 18:54:22 GMT+0100 (BST),2.7,7.3,0,9.1,5.9,
PB2500035330,Mon Sep 18 2017 09:02:45 GMT+0100 (BST),1.5,0,0,0.15,4.4,
PB2500010629,Mon Sep 18 2017 15:14:33 GMT+0100 (BST),3.5,0,0.55,0.25,10.7,
PB2500029003,Mon Sep 18 2017 12:21:16 GMT+0100 (BST),2.5,0,0.4,0,4.1,
PB2500029003,Mon Sep 18 2017 14:46:46 GMT+0100 (BST),2.2,0.85,0.55,0.2,9.2,
PB2500029403,Mon Sep 18 2017 16:05:20 GMT+0100 (BST),9.65,0,0,3.35,11.0,
