group,PBID
D,PB2500036964
D,PB2500036963
C,PB2500036880
A,PB2500036873
C,PB2500036788
D,PB2500036764
C,PB2500036703
B,PB2500036671
D,PB2500036660
C,PB2500036626
A,PB2500036593
B,PB2500036585
C,PB2500036366
D,PB2500035523
A,PB2500035486
D,PB2500035479
B,PB2500035411
D,PB2500035373
B,PB2500035330
D,PB2500035317
B,PB2500035308
B,PB2500035239
C,PB2500035170
A,PB2500035145
D,PB2500035119
C,PB2500034972
B,PB2500034959
C,PB2500034890
A,PB2500034873
D,PB2500034872
A,PB2500034769
C,PB2500034762
D,PB2500034756
B,PB2500034402
D,PB2500030280
A,PB2500030275
A,PB2500029963
C,PB2500029848
B,PB2500029755
B,PB2500029572
A,PB2500029535
D,PB2500029526
D,PB2500029510
A,PB2500029467
A,PB2500029403
C,PB2500029123
B,PB2500029118
A,PB2500029113
B,PB2500029003
D,PB2500029001
B,PB2500028908
B,PB2500018485
B,PB2500018155
C,PB2500018046
D,PB2500017485
A,PB2500017260
B,PB2500017115
D,PB2500016490
C,PB2500016479
A,PB2500016413
A,PB2500016302
A,PB2500016085
C,PB2500016077
A,PB2500015176
A,PB2500015068
A,PB2500015032
B,PB2500014851
D,PB2500014820
D,PB2500014762
C,PB2500014740
D,PB2500014596
A,PB2500014533
D,PB2500014494
A,PB2500014461
C,PB2500014442
D,PB2500014435
C,PB2500014415
A,PB2500013900
A,PB2500010644
D,PB2500010636
C,PB2500010630
B,PB2500010629
B,PB2500010548
B,PB2500010542
C,PB2500010328
B,PB2500009814
D,PB2500009709
B,PB2500009705
D,PB2500009583
A,PB2500009543
D,PB2500009446
C,PB2500009375
B,PB2500009374
B,PB2500009352
B,PB2500009228
D,PB2500009220
C,PB2500009210
C,PB2500009201
D,PB2500009146
A,PB2500009132
A,PB2500009123
C,PB2500009101
C,PB2500008956
C,PB2500008951
B,PB2500008867
B,PB2500008854
A,PB2500008778
B,PB2500008735
D,PB2500008565
C,PB2500008549
A,PB2500008312
C,PB2500008248
B,PB2500008209
C,PB2500008196
D,PB2500008183
